Country,2015,2016,2017,2018,2019,2020
Switzerland,7.587000000000001,7.5089999999999995,7.49399995803833,7.487,7.48,7.559899807000001
Iceland,7.561,7.501,7.50400018692017,7.495,7.494,7.504499912000001
Denmark,7.527,7.526,7.52199983596802,7.555,7.6,7.645599842
Norway,7.522,7.497999999999999,7.537000179290769,7.593999999999999,7.553999999999999,7.487999916000001
Canada,7.4270000000000005,7.404,7.31599998474121,7.327999999999999,7.278,7.23210001
Finland,7.406000000000001,7.412999999999999,7.468999862670901,7.632000000000001,7.769,7.808700085
Netherlands,7.377999999999999,7.3389999999999995,7.3769998550415,7.441,7.4879999999999995,7.448900223
Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.353499889
New Zealand,7.2860000000000005,7.334,7.31400012969971,7.324,7.307,7.2996001239999995
Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.222799778
Israel,7.278,7.267,7.212999820709231,6.814,7.138999999999999,7.128600121
Costa Rica,7.226,7.087000000000001,7.0789999961853,7.072,7.167000000000001,7.121399879
Austria,7.2,7.119,7.00600004196167,7.138999999999999,7.246,7.294199944
Mexico,7.187,6.778,6.57800006866455,6.4879999999999995,6.595,6.465000152999999
United States,7.119,7.104,6.993000030517581,6.886,6.892,6.939599991000001
Brazil,6.983,6.952000000000001,6.6350002288818395,6.419,6.3,6.375599861
Luxembourg,6.946000000000001,6.871,6.86299991607666,6.91,7.09,7.2375001910000005
Ireland,6.94,6.907,6.9770002365112305,6.977,7.021,7.093699932000001
Belgium,6.937,6.928999999999999,6.89099979400635,6.9270000000000005,6.922999999999999,6.863500117999999
United Arab Emirates,6.901,6.5729999999999995,6.6479997634887695,6.774,6.825,6.790800095
United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.053999999999999,7.164500237
Venezuela,6.81,6.084,5.25,4.806,4.707,5.053199768
Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,6.377099991000001
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.321000000000001,6.304800033999999
Germany,6.75,6.994,6.9510002136230495,6.965,6.985,7.075799942000001
Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.228499889
France,6.575,6.478,6.44199991226196,6.489,6.5920000000000005,6.663799762999999
Argentina,6.574,6.65,6.59899997711182,6.388,6.086,5.974699974
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,6.9109001160000005
Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999999,6.440100192999999
Colombia,6.477,6.481,6.35699987411499,6.26,6.125,6.163400172999999
Thailand,6.455,6.474,6.4239997863769505,6.072,6.007999999999999,5.9987998010000005
Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,6.406499863
Spain,6.329,6.361000000000001,6.40299987792969,6.31,6.354,6.4008998870000005
Malta,6.3020000000000005,6.4879999999999995,6.52699995040894,6.627000000000001,6.726,6.772799968999999
Kuwait,6.295,6.239,6.10500001907349,6.082999999999999,6.021,6.102099895
El Salvador,6.13,6.068,6.002999782562259,6.167000000000001,6.252999999999999,6.34829998
Guatemala,6.122999999999999,6.324,6.4539999961853,6.382000000000001,6.436,6.398900032
Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.1739999999999995,6.257599831
Slovakia,5.995,6.077999999999999,6.09800004959106,6.172999999999999,6.1979999999999995,6.280600071
Japan,5.987,5.921,5.92000007629395,5.915,5.886,5.870800018
South Korea,5.984,5.835,5.837999820709231,5.875,5.895,5.872399807000001
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,5.925199986
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,6.227300167
Italy,5.9479999999999995,5.977,5.96400022506714,6.0,6.223,6.38740015
Bolivia,5.89,5.822,5.82299995422363,5.752000000000001,5.779,5.747499942999999
Moldova,5.888999999999999,5.897,5.837999820709231,5.64,5.529,5.607500076
Paraguay,5.877999999999999,5.537999999999999,5.493000030517581,5.681,5.742999999999999,5.6921000479999995
Kazakhstan,5.855,5.919,5.8189997673034695,5.79,5.809,6.0578999520000005
Slovenia,5.848,5.768,5.75799989700317,5.9479999999999995,6.117999999999999,6.363399982000001
Lithuania,5.832999999999999,5.813,5.90199995040894,5.952000000000001,6.149,6.215499877999999
Nicaragua,5.827999999999999,5.992000000000001,6.07100009918213,6.141,6.105,6.13710022
Peru,5.824,5.742999999999999,5.71500015258789,5.662999999999999,5.697,5.796800137000001
Belarus,5.813,5.8020000000000005,5.5689997673034695,5.483,5.3229999999999995,5.539899826
Poland,5.791,5.835,5.97300004959106,6.122999999999999,6.182,6.1862998010000005
Malaysia,5.77,6.005,6.08400011062622,6.322,5.3389999999999995,5.384300232
Croatia,5.7589999999999995,5.4879999999999995,5.2930002212524405,5.321000000000001,5.432,5.504700184
Libya,5.754,5.615,5.525000095367429,5.566,5.525,5.488800049
Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.546000004
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,5.889800072000001
Cyprus,5.689,5.546,5.62099981307983,5.7620000000000005,6.046,6.15899992
Algeria,5.605,6.355,5.872000217437741,5.295,5.211,5.005099773
Kosovo,5.5889999999999995,5.401,5.27899980545044,5.662000000000001,6.1,6.325200081
Turkmenistan,5.547999999999999,5.6579999999999995,5.82200002670288,5.636,5.247000000000001,5.119100093999999
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888,6.101299762999999
Estonia,5.428999999999999,5.517,5.61100006103516,5.739,5.893,6.0218000410000005
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192,5.285600185
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,5.353499889
Turkey,5.332000000000001,5.388999999999999,5.5,5.483,5.372999999999999,5.131800175
Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705,5.131,5.261,5.541500092000001
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,4.724100113
Azerbaijan,5.212000000000001,5.291,5.234000205993651,5.2010000000000005,5.207999999999999,5.164800167
Pakistan,5.194,5.132000000000001,5.26900005340576,5.472,5.653,5.69329977
Jordan,5.192,5.303,5.33599996566772,5.1610000000000005,4.906000000000001,4.6333999630000005
Montenegro,5.192,5.1610000000000005,5.23699998855591,5.347,5.523,5.54610014
China,5.14,5.245,5.2729997634887695,5.246,5.191,5.123899937
Zambia,5.129,4.795,4.513999938964839,4.377,4.107,3.759399891
Romania,5.124,5.528,5.824999809265139,5.945,6.07,6.123700142000001
Serbia,5.122999999999999,5.1770000000000005,5.39499998092651,5.398,5.603,5.77820015
Portugal,5.102,5.122999999999999,5.19500017166138,5.41,5.693,5.9109001160000005
Latvia,5.098,5.56,5.849999904632571,5.933,5.94,5.9499998089999995
