Country,Happiness Score
Finland,7.808700085
Denmark,7.645599842
Switzerland,7.559899807000001
Iceland,7.504499912000001
Norway,7.487999916000001
Netherlands,7.448900223
Sweden,7.353499889
New Zealand,7.2996001239999995
Austria,7.294199944
Luxembourg,7.2375001910000005
Canada,7.23210001
Australia,7.222799778
United Kingdom,7.164500237
Israel,7.128600121
Costa Rica,7.121399879
Ireland,7.093699932000001
Germany,7.075799942000001
United States,6.939599991000001
Czech Republic,6.9109001160000005
Belgium,6.863500117999999
United Arab Emirates,6.790800095
Malta,6.772799968999999
France,6.663799762999999
Mexico,6.465000152999999
Taiwan Province of China,6.45539999
Uruguay,6.440100192999999
Saudi Arabia,6.406499863
Spain,6.4008998870000005
Guatemala,6.398900032
Italy,6.38740015
Singapore,6.377099991000001
Brazil,6.375599861
Slovenia,6.363399982000001
El Salvador,6.34829998
Kosovo,6.325200081
Panama,6.304800033999999
Slovakia,6.280600071
Uzbekistan,6.257599831
Chile,6.228499889
Bahrain,6.227300167
Lithuania,6.215499877999999
Trinidad and Tobago,6.1918997760000005
Poland,6.1862998010000005
Colombia,6.163400172999999
Cyprus,6.15899992
Nicaragua,6.13710022
Romania,6.123700142000001
Kuwait,6.102099895
Mauritius,6.101299762999999
Kazakhstan,6.0578999520000005
Estonia,6.0218000410000005
Philippines,6.006000042
Hungary,6.000400066
Thailand,5.9987998010000005
Argentina,5.974699974
Honduras,5.953199862999999
Latvia,5.9499998089999995
Ecuador,5.925199986
Portugal,5.9109001160000005
Jamaica,5.889800072000001
South Korea,5.872399807000001
Japan,5.870800018
Peru,5.796800137000001
Serbia,5.77820015
Bolivia,5.747499942999999
Pakistan,5.69329977
Paraguay,5.6921000479999995
Dominican Republic,5.6891999239999995
Bosnia and Herzegovina,5.674099922000001
Moldova,5.607500076
Tajikistan,5.555699825
Montenegro,5.54610014
Russia,5.546000004
Kyrgyzstan,5.541500092000001
Belarus,5.539899826
North Cyprus,5.53550005
Greece,5.514999866
Hong Kong S.A.R. of China,5.510399818
Croatia,5.504700184
Libya,5.488800049
Mongolia,5.4562001229999995
Malaysia,5.384300232
Vietnam,5.353499889
Indonesia,5.285600185
Ivory Coast,5.233300208999999
Benin,5.21600008
Maldives,5.197599888
Congo (Brazzaville),5.1943998339999995
Azerbaijan,5.164800167
Macedonia,5.1598000530000006
Ghana,5.1479997630000005
Nepal,5.137199879
Turkey,5.131800175
China,5.123899937
Turkmenistan,5.119100093999999
Bulgaria,5.101500034
Morocco,5.094799995
Cameroon,5.084899902
Venezuela,5.053199768
Algeria,5.005099773
Senegal,4.980800152
Guinea,4.949299812
Niger,4.909599781
Laos,4.888599873
Albania,4.882699966000001
Cambodia,4.8484001160000005
Bangladesh,4.832799911
Gabon,4.829299927
South Africa,4.814099789
Iraq,4.7848000530000006
Lebanon,4.771500111
Burkina Faso,4.768700123
Gambia,4.750599861
Mali,4.729300021999999
Nigeria,4.724100113
Armenia,4.676799774
Georgia,4.672599792
Iran,4.672399998
Jordan,4.6333999630000005
Mozambique,4.623600006
Kenya,4.583000183
Namibia,4.571100235
Ukraine,4.56069994
Liberia,4.557899952
Palestinian Territories,4.552800179
Uganda,4.43200016
Chad,4.422699928
Tunisia,4.392199993
Mauritania,4.374599934
Sri Lanka,4.327000141
Congo (Kinshasa),4.31099987
Swaziland,4.3081002239999995
Myanmar,4.308000088
Comoros,4.288599968
Togo,4.187200069
Ethiopia,4.186200142
Madagascar,4.165599823
Egypt,4.151400089
Sierra Leone,3.926399946
Burundi,3.775300026
Zambia,3.759399891
Haiti,3.720799923
Lesotho,3.6528000830000003
India,3.573299885
Malawi,3.538000107
Yemen,3.5274000169999997
Botswana,3.4788999560000002
Tanzania,3.4762001039999997
Central African Republic,3.475899935
Rwanda,3.312299967
Zimbabwe,3.2992000580000003
South Sudan,2.8166000839999996
Afghanistan,2.566900015
