Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index,Cost of Living Plus Rent Index,Passport Index,Ease of Doing Business Index,Corruption Index,Population Density,Current Covid Cases,Happiness Score
Denmark,192.67,100.88,74.9,80.0,28.85,21.33,81.8,58.57,123.0,85.3,87.0,135,27072.0,7.645599842
Switzerland,192.01,119.53,78.4,72.44,29.09,22.39,79.24,87.89,125.0,76.6,85.0,208,52646.0,7.559899807000001
Finland,190.22,99.93,76.68,75.79,29.9,11.55,58.87,49.18,124.0,80.2,86.0,16,9743.0,7.808700085
Australia,186.21,107.31,58.64,77.38,34.73,23.46,92.7,55.04,125.0,81.2,77.0,3,27055.0,7.222799778
Netherlands,183.67,90.73,72.38,74.65,29.43,27.41,87.61,55.3,123.0,76.1,82.0,420,114540.0,7.448900223
Austria,182.5,82.38,76.27,78.73,26.27,22.19,77.3,49.54,125.0,78.7,77.0,106,43432.0,7.294199944
Iceland,181.75,79.44,76.64,65.92,20.1,16.21,68.81,74.88,123.0,79.0,78.0,3.5,2663.0,7.504499912000001
New Zealand,181.02,92.66,59.07,73.81,31.1,23.4,95.46,53.19,126.0,86.8,87.0,18,1835.0,7.2996001239999995
Germany,179.78,102.36,65.19,73.32,30.98,29.03,83.0,46.99,125.0,79.7,80.0,233,288618.0,7.075799942000001
Estonia,177.82,71.3,76.86,72.67,24.53,19.81,64.28,33.94,121.0,80.6,74.0,29,3267.0,6.0218000410000005
Sweden,175.95,101.73,52.93,69.23,30.49,18.09,73.97,48.83,124.0,82.0,85.0,23,90923.0,7.353499889
Norway,175.19,88.38,64.57,74.36,26.99,20.35,71.37,70.21,123.0,82.6,84.0,17,13788.0,7.487999916000001
Slovenia,172.15,66.31,78.93,64.58,27.3,24.06,77.56,36.05,122.0,76.5,60.0,103,5388.0,6.363399982000001
United States,172.11,109.52,52.8,69.27,32.89,36.88,77.54,56.36,,84.0,,34,,6.939599991000001
Spain,169.82,72.03,68.04,78.88,29.1,39.99,94.19,38.46,124.0,77.9,62.0,93,748266.0,6.4008998870000005
Japan,167.99,87.28,79.34,81.14,39.15,39.59,84.79,55.9,126.0,78.0,73.0,333,82131.0,5.870800018
Oman,167.09,80.97,79.21,58.15,22.8,37.74,67.22,34.31,63.0,70.0,52.0,14,98057.0,
Canada,163.47,95.09,60.33,71.58,33.87,27.83,50.57,49.98,123.0,79.6,77.0,4,155301.0,7.23210001
Portugal,162.91,49.43,70.37,71.88,30.0,30.89,97.31,36.27,123.0,76.5,62.0,112,74029.0,5.9109001160000005
United Kingdom,162.71,91.73,56.29,74.46,34.53,40.56,87.62,49.38,123.0,83.5,77.0,274,,7.164500237
Qatar,162.29,111.69,88.14,73.3,29.72,61.06,36.03,56.1,73.0,68.7,62.0,237,125311.0,
Lithuania,159.42,57.85,66.94,69.49,26.08,28.8,67.76,29.63,123.0,81.6,60.0,43,4490.0,6.215499877999999
Croatia,159.01,50.42,75.29,62.68,29.11,30.46,89.05,32.38,118.0,73.6,47.0,72,16245.0,5.504700184
United Arab Emirates,156.67,91.58,84.3,67.04,36.85,51.15,45.23,51.98,101.0,80.9,71.0,117,,6.790800095
Czech Republic,156.24,62.82,74.48,74.62,29.65,40.23,77.13,33.43,121.0,76.3,56.0,135,,6.9109001160000005
France,153.95,80.36,53.21,79.99,34.76,43.56,90.25,50.82,124.0,76.8,69.0,123,542639.0,6.663799762999999
Ireland,153.53,80.88,54.57,51.89,37.68,33.99,89.13,60.59,125.0,79.6,74.0,70,35377.0,7.093699932000001
Belgium,153.47,86.28,56.02,74.34,36.15,52.94,85.99,49.61,124.0,75.0,75.0,376,115353.0,6.863500117999999
Slovakia,152.53,56.94,70.78,60.02,29.11,39.66,78.13,30.9,120.0,,50.0,111,9343.0,6.280600071
Saudi Arabia,150.56,100.0,73.82,59.11,28.61,65.09,45.98,30.67,63.0,71.6,53.0,16,333648.0,6.406499863
Latvia,150.0,52.48,63.05,62.91,32.89,33.73,74.7,30.91,122.0,80.3,56.0,30,1697.0,5.9499998089999995
Israel,149.94,78.09,70.4,73.29,35.91,57.25,93.78,57.32,76.0,76.7,60.0,416,233265.0,7.128600121
Cyprus,147.93,57.41,69.99,51.75,23.95,53.55,92.8,40.05,118.0,73.4,58.0,149,1713.0,6.15899992
Singapore,144.39,88.96,69.43,70.84,41.31,33.48,57.45,72.58,89.0,86.2,85.0,"7,894",57715.0,6.377099991000001
Taiwan,143.23,65.67,84.35,86.71,31.93,63.35,84.38,39.87,66.0,,65.0,652,513.0,
Poland,141.83,59.61,71.5,61.01,31.72,54.46,76.14,28.38,121.0,76.4,58.0,123,88636.0,6.1862998010000005
Italy,140.76,65.59,55.74,66.59,34.42,55.63,92.27,45.24,124.0,72.9,53.0,200,311364.0,6.38740015
South Korea,139.02,85.21,71.98,81.97,39.57,62.48,68.39,51.72,125.0,,,517,,5.872399807000001
Belarus,134.83,37.0,75.01,59.04,30.68,43.63,64.37,23.13,64.0,74.3,45.0,46,77946.0,5.539899826
Greece,133.07,43.68,59.68,56.21,33.84,52.55,94.18,34.62,121.0,68.4,48.0,81,17707.0,5.514999866
Romania,132.44,48.86,72.36,55.06,34.75,58.42,77.62,23.22,117.0,73.3,44.0,81,123944.0,6.123700142000001
South Africa,131.97,73.61,22.51,64.14,39.43,57.3,95.25,30.31,70.0,67.0,44.0,48,671669.0,4.814099789
Bulgaria,129.8,49.37,61.5,55.4,29.39,65.33,82.76,23.75,117.0,72.0,43.0,63,20271.0,5.101500034
Hungary,128.16,47.55,64.92,47.8,35.78,48.29,79.48,27.99,121.0,73.4,44.0,105,24716.0,6.000400066
Turkey,127.1,40.85,60.51,69.8,44.65,67.35,93.26,21.34,83.0,76.8,39.0,106,315845.0,5.131800175
Uruguay,125.98,37.46,46.19,66.28,39.89,44.84,98.04,33.53,112.0,61.5,71.0,,2010.0,6.440100192999999
Ecuador,125.14,36.08,49.1,70.59,37.55,57.0,94.51,27.1,66.0,57.7,38.0,63,134965.0,5.925199986
Bosnia And Herzegovina,121.89,41.83,56.97,52.26,26.67,62.33,80.48,21.97,,,,,,
Chile,119.76,42.5,54.77,65.44,35.44,65.78,90.21,29.16,81.0,72.6,67.0,23,459671.0,6.228499889
Mexico,118.55,41.81,46.03,70.12,39.39,66.1,86.29,24.11,79.0,72.4,29.0,64,733717.0,6.465000152999999
Malaysia,118.44,64.49,41.16,68.1,37.03,63.18,57.92,25.67,90.0,81.5,53.0,99,11034.0,5.384300232
Serbia,116.3,36.72,62.59,51.27,30.43,60.32,83.23,22.98,100.0,75.7,39.0,89,33414.0,5.77820015
Georgia,115.95,24.88,79.79,51.24,36.02,71.09,84.2,19.54,98.0,83.7,56.0,54,5552.0,4.672599792
