region_name,score_2020_Covid,score_2020,score_2019,score_2018,score_2017,score_2016,score_2015
Belgium,112,124,170,164,121,154,156
Finland,112,124,172,165,121,155,157
Austria,112,125,171,164,121,153,155
Luxembourg,112,125,172,165,121,153,155
Spain,112,124,172,165,121,155,157
Ireland,112,125,171,164,121,152,154
United Kingdom,112,123,169,164,120,155,157
Switzerland,112,125,171,164,121,155,157
Sweden,111,124,170,165,120,156,158
Netherlands,111,123,171,165,120,154,156
Denmark,111,123,171,165,120,154,156
France,111,124,170,165,121,155,157
Germany,111,125,172,166,121,157,158
Italy,111,124,171,165,120,154,156
Norway,111,123,170,165,120,155,155
Malta,110,122,170,162,119,148,151
Portugal,110,123,171,164,119,153,155
Greece,110,121,170,164,119,151,154
Iceland,110,123,168,162,119,150,150
Czech Republic,109,121,169,163,118,150,152
Slovenia,109,122,168,161,118,147,149
Poland,109,121,169,161,118,148,150
Hungary,109,121,169,163,118,150,152
Lithuania,109,123,169,161,119,147,147
Liechtenstein,109,122,164,157,118,146,146
Estonia,108,121,168,160,118,146,147
Slovakia,108,120,169,161,117,147,149
Latvia,108,122,167,161,118,147,148
Monaco,107,118,164,156,114,142,144
Cyprus,106,118,166,157,115,143,147
Romania,106,117,166,158,115,140,143
Croatia,106,118,164,156,115,141,141
Bulgaria,106,117,165,158,115,141,144
San Marino,103,113,154,147,109,137,139
Andorra,101,112,154,148,108,137,138
Ukraine,98,110,141,131,104,87,86
Vatican City,97,105,146,142,102,129,129
Serbia,92,100,134,126,100,110,112
United Arab Emirates,90,101,179,167,97,122,122
North Macedonia,89,97,124,,95,,
Moldova,88,92,120,112,91,104,104
Bosnia and Herzegovina,87,93,119,113,93,98,98
Georgia,87,98,123,115,94,67,68
Montenegro,86,94,124,117,94,101,102
Albania,86,95,116,111,93,93,94
United States of America,80,89,171,165,86,155,155
New Zealand,80,126,169,162,121,152,153
Malaysia,79,90,165,161,85,153,151
Japan,79,126,171,164,120,154,154
Australia,79,125,168,161,120,152,151
Singapore,78,89,169,166,84,156,155
South Korea,78,125,171,165,118,152,156
Canada,77,123,169,164,119,152,153
Brazil,75,84,161,155,81,143,141
Turkey,74,83,121,115,81,104,102
Argentina,73,82,160,155,79,140,142
Hong Kong,72,82,157,150,78,139,140
Russian Federation,72,84,122,116,79,103,104
Chile,72,81,161,155,78,138,140
Barbados,71,84,149,144,79,131,132
Bahamas,69,81,145,140,76,129,130
Brunei,69,79,153,144,75,134,136
Seychelles,68,79,139,136,76,125,123
Saint Kitts and Nevis,67,79,142,133,75,123,124
Israel,67,76,150,146,73,136,138
Mexico,67,79,150,143,74,128,127
Mauritius,66,76,136,132,73,73,73
Mauritius,66,76,136,132,73,73,118
Mauritius,66,76,136,132,73,118,73
Mauritius,66,76,136,132,73,118,118
Trinidad and Tobago,66,76,138,135,72,121,123
Antigua and Barbuda,66,77,139,132,73,123,124
Macao,66,75,139,129,70,115,113
Uruguay,66,112,148,141,107,127,129
Costa Rica,65,76,141,134,72,121,121
St. Vincent and the Grenadines,64,76,140,136,71,119,121
South Africa,64,70,103,98,69,90,91
Qatar,64,73,102,90,69,77,75
Kuwait,64,71,102,96,69,81,81
Peru,64,73,140,137,67,,
Jamaica,62,68,94,88,65,76,77
Saint Lucia,62,72,134,128,67,118,119
Belize,61,69,97,91,65,82,83
Fiji,61,68,96,89,65,74,76
Taiwan,61,66,135,130,62,119,120
Dominica,60,69,131,125,66,111,112
Vanuatu,60,66,130,124,63,112,112
Solomon Islands,60,69,131,123,64,109,76
Maldives,60,65,91,83,63,72,74
Panama,60,70,135,129,66,115,117
Grenada,59,69,132,128,65,115,117
Tuvalu,59,65,125,122,62,107,74
Bahrain,59,66,91,84,64,72,72
Venezuela,59,68,129,129,65,121,122
Botswana,58,64,84,77,62,69,68
Tonga,58,65,124,117,62,107,108
Tunisia,58,61,77,70,60,60,60
Tunisia,58,61,77,70,60,60,61
Tunisia,58,61,77,70,60,60,60
